"ID","Geslacht","Leeftijd","Perioden","TotaalDodelijkeOngevallen_1","TotaalDodelijkeVervoersongevallen_2","Voetganger_3","Fiets_4","BromEnSnorfietsEnBrommobiel_5","GemotInvalidenvoertuigScootmobiel_6","Motorfiets_7","Personenauto_8","BestelautoVrachtauto_9","OverigOnbekend_10","AccidenteleVal_11","AccidenteleVerdrinking_12","TotaalAccidenteleVergiftiging_13","Medicijnen_14","Drugs_15","Alcohol_16","OverigOnbekend_17","TotaalOverigeDodelijkeOngevallen_18","MechanischEffect_19","RookVuurEnVlammen_20","Verstikking_21","OverigInclLaatGevolg_22","TotaalDodelijkeOngevallen_23","DodelijkeVervoersongevallen_24","AccidenteleVal_25","AccidenteleVerdrinking_26","AccidenteleVergiftigingInclOpzetOnb_27","OverigeDodelijkeOngevallen_28"
154,"1100","60700","2010JJ00","     304","      91","       5","      23","       8","       4","       2","      16","       4","      29","     141","      15","       6","       2","       2","       1","       1","      51","       4","       9","      14","      24","    16.3","     4.9","     7.5","     0.8","     0.3","     2.7"
155,"1100","60700","2011JJ00","     314","      78","       6","      30","       4","       3","       2","      18","       5","      10","     168","      12","      14","       4","       6","       2","       2","      42","       6","       4","       9","      23","    16.4","     4.1","     8.8","     0.6","     0.7","     2.2"
156,"1100","60700","2012JJ00","     303","      82","       6","      36","       6","       4","       2","      21","       3","       4","     162","       9","      15","       8","       5","       0","       2","      35","       5","       3","       5","      22","    15.4","     4.2","     8.2","     0.5","     0.8","     1.8"
157,"1100","60700","2013JJ00","     288","      63","       5","      28","       6","       3","       1","      11","       1","       8","     156","       8","      16","       6","       4","       5","       1","      45","       9","       3","       4","      29","    14.3","     3.1","     7.8","     0.4","     0.8","     2.2"
158,"1100","60700","2014JJ00","     320","      65","       4","      26","       6","       2","       3","      16","       2","       6","     176","      22","      12","       9","       1","       1","       1","      45","       4","       9","       8","      24","    15.6","     3.2","     8.6","     1.1","     0.6","     2.2"
159,"1100","60700","2015JJ00","     343","      80","       3","      29","       5","       4","       4","      23","       0","      12","     190","      10","      18","       6","       8","       2","       2","      45","       6","       5","       5","      29","    16.5","     3.8","     9.1","     0.5","     0.9","     2.2"
160,"1100","60800","1996JJ00","     473","     160","      28","      68","      11","       1","       2","      43","       0","       7","     267","       1","       3","       2","       0","       0","       1","      42","       5","      17","       6","      14","    49.4","    16.7","    27.9","     0.1","     0.3","     4.4"
161,"1100","60800","1997JJ00","     421","     142","      19","      52","       6","       4","       2","      55","       0","       4","     240","       3","       2","       1","       0","       0","       1","      34","       4","       9","       7","      14","    43.4","    14.6","    24.7","     0.3","     0.2","     3.5"
162,"1100","60800","1998JJ00","     428","     138","      24","      36","       5","       1","       3","      59","       0","      10","     256","       5","       3","       2","       0","       0","       1","      26","       2","       9","       3","      12","    43.5","    14.0","    26.0","     0.5","     0.3","     2.6"
163,"1100","60800","1999JJ00","     449","     143","      23","      40","      14","       4","       0","      54","       2","       6","     266","       8","       3","       2","       0","       0","       1","      29","       3","       7","       7","      12","    44.9","    14.3","    26.6","     0.8","     0.3","     2.9"
164,"1100","60800","2000JJ00","     473","     132","      11","      48","      14","       2","       1","      51","       1","       4","     287","      14","       8","       4","       0","       1","       3","      32","       6","      12","       4","      10","    46.8","    13.1","    28.4","     1.4","     0.8","     3.2"
165,"1100","60800","2001JJ00","     497","     123","      18","      46","      12","       1","       0","      44","       0","       2","     327","       9","       3","       0","       0","       0","       3","      35","       3","      11","       3","      18","    48.9","    12.1","    32.2","     0.9","     0.3","     3.4"
166,"1100","60800","2002JJ00","     464","     113","      19","      38","       6","       2","       1","      37","       2","       8","     292","      12","      11","       4","       0","       2","       5","      36","       7","      10","       1","      18","    45.4","    11.0","    28.5","     1.2","     1.1","     3.5"
